	category	psmiles	compound	smiles	average size	water3	logkd
510	PE	[*]C=C[*]	biphenyl (BIP)	C1=CC=C(C=C1)C2=CC=CC=C2	150	2	3.22055262
582	PS	[*]C=C[*]c1ccccc1	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	261	2	2.780029127
547	PVC	[*]C=C[*]Cl	1-hydroxyphenanthrene	C1=CC=C2C(=C1)C=CC3=C2C=CC=C3O	150	1	4.85
316	PE	[*]C=C[*]	BDE-47	C1=CC(=C(C=C1Br)Br)OC2=C(C=C(C=C2)Br)Br	4000	2	2.13001195
305	PE	[*]C=C[*]	2,2′,3,4′,5′,6-hexachlorobiphenyl	C1=CC(=C(C(=C1Cl)C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl 	95	1	6.24
1018	PE	[*]C=C[*]	Atrazine	CCNC1=NC(=NC(=N1)Cl)NC(C)C	150	1	1.02
357	PP	[*]CC([*])C	PCB-77	C1=CC(=C(C=C1C2=CC(=C(C=C2)Cl)Cl)Cl)Cl	637.5	2	2.745387121
802	PE	[*]C=C[*]	Cyclopentene	C1CC=CC1	150	1	1.54
793	PE	[*]C=C[*]	fluorene	C1C2=CC=CC=C2C3=CC=CC=C31	219	1	3.831735436
294	PE	[*]C=C[*]	PCB-138	C1=CC(=C(C(=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl)Cl	100	1	6.910000002
997	PE	[*]C=C[*]	trifluralin (TFL)	CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]	132.5	1	4.801632118
110	PS	[*]C=C[*]c1ccccc1	PFBS	C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F	9.5	1	1.096910013
948	PE	[*]C=C[*]	2-Methylanthracene	CC1=CC=CC=C1[N+](=O)[O-]	135	2	5.0
590	PS	[*]C=C[*]c1ccccc1	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	0.8	2	4.129999072
57	PE	[*]C=C[*]	perfluorooctanoic acid	C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	150	3	1.81
358	PE	[*]C=C[*]	PCB-77	C1=CC(=C(C=C1C2=CC(=C(C=C2)Cl)Cl)Cl)Cl	100	3	5.789999999
830	PE	[*]C=C[*]	triadimefon	CC(C)(C)C(=O)C(N1C=NC=N1)OC2=CC=C(C=C2)Cl	112.5	2	2.380211242
6	PVC	[*]C=C[*]Cl	4,4'-DDT	[13CH]1=[13CH][13C](=[13CH][13CH]=[13C]1C([13C]2=[13CH][13CH]=[13C]([13CH]=[13CH]2)Cl)C(Cl)(Cl)Cl)Cl 	225	3	4.916453949
285	PE	[*]C=C[*]	2,2′,3,3′,4,4′,5-heptachlorobiphenyl	C1=CC(=C(C(=C1C2=CC(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl)Cl	150	1	6.9
587	PS	[*]C=C[*]c1ccccc1	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	50	2	3.729998547
1047	PE	[*]C=C[*]	picoxystrobin	CO/C=C(\C1=CC=CC=C1COC2=CC=CC(=N2)C(F)(F)F)/C(=O)OC	150	1	2.11
138	PS	[*]C=C[*]c1ccccc1	naproxen (NPX)	C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O	700	1	0.380211242
163	PVC	[*]C=C[*]Cl	oestrone (E1)	C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O	137.4	2	1.87909588
926	PE	[*]C=C[*]	sulfamethoxazole	CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N	150	1	1.82
598	PE	[*]C=C[*]	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	220	3	3.440909082
567	PE	[*]C=C[*]	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	280	2	3.234517284
920	PE	[*]C=C[*]	m-xylene (m-Xyl)	CC1=CC(=CC=C1)C	150	2	2.575534218
43	PS	[*]C=C[*]c1ccccc1	PFUnA	C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	9.5	3	2.752048448
615	PE	[*]C=C[*]	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	150	3	4.65
858	PS	[*]C=C[*]c1ccccc1	bisphenol A (BPA)	CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O	59	2	1.69019608
63	PS	[*]C=C[*]c1ccccc1	Perfluoroheptanoic acid	C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	10	3	1.73
653	PP	[*]CC([*])C	fluoranthene	C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4	3000	1	3.789143377
648	PE	[*]C=C[*]	fluoranthene	C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4	219	1	4.583036592
446	PE	[*]C=C[*]	2,4',5-trichlorobiphenyl	C1=CC(=CC=C1C2=C(C=CC(=C2)Cl)Cl)Cl	150	1	5.3
38	PS	[*]C=C[*]c1ccccc1	PFDoA	C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	9.5	3	2.719993826
1027	PS	[*]C=C[*]c1ccccc1	diethyl phthalate (DEP)	CCOC(=O)C1=CC=CC=C1C(=O)OCC	150	2	0.633468456
934	PET	[*]OCCOC(=O)c1ccc(C([*])=O)cc1	sulfamethoxazole (SMX)	CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N	125	2	1.346352974
328	PE	[*]C=C[*]	2,3,3′,4,4′-pentachlorobiphenyl 	C1=CC(=C(C=C1C2=C(C(=C(C=C2)Cl)Cl)Cl)Cl)Cl	150	1	6.3
19	PS	[*]C=C[*]c1ccccc1	PFHxDA	C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	9.5	3	3.285827253
